['35', '22', '5', '327', '151']	['35', '49', '327', '151', '5']	1
['29', '284', '988', '838', '22', '170', '48', '274', '10', '13']	['46', '7', '1206', '1134', '8446', '835', '5061', '880', '693']	0
['266', '109']	['266', '1689', '371', '89']	0
['458', '2014', '1802', '1629', '822', '132', '7074', '7075']	['458', '5596', '7073', '2168', '2600', '1952']	1
['81', '228', '490', '266', '216', '332', '188', '44', '21', '559']	['404', '821', '81', '228', '490', '266', '332', '1', '21', '559']	1
['7560', '1952', '179', '984', '959', '765', '4', '5525', '350']	['304', '984', '959', '765', '7558', '626', '350']	1
['135', '65', '1415', '15']	['169', '1136', '65', '11']	0
['1115', '10', '130']	['124', '11', '47', '1115', '862']	0
['131', '543', '2561']	['93', '2561', '67']	1
['30', '152', '386', '1401', '62', '392']	['944', '19', '815', '158', '1401', '62']	0
['5895', '103', '92', '199', '48', '1046', '389', '290']	['15', '92', '9', '1046', '870', '1', '61', '75', '290']	0
['217', '85', '28', '7', '3314', '3195']	['85', '28', '7', '217', '3195']	1
['2521', '3', '223']	['2521', '3', '223', '678']	0
['84', '71', '7', '1', '16', '1522', '499', '167']	['84', '71', '343', '1', '5', '499', '167']	1
['6', '393', '8', '6422', '3384', '130', '117']	['6', '393', '8', '1390', '685', '1661', '5048', '70', '117', '4']	1
['581', '42', '68', '110', '66', '311']	['556', '581', '42', '1095', '89']	0
['99', '50', '158', '1401', '172', '62', '120', '405', '250', '45', '68']	['30', '50', '172', '533', '1401', '62', '111', '70', '30', '152', '62']	0
['6', '752', '1121']	['752', '1121', '1850']	0
['1204', '489', '756', '14', '147', '3242', '262']	['359', '489', '756', '10', '147', '52']	1
['1687', '1044', '429', '1645', '915']	['1687', '400', '959', '915']	1
['1862', '87', '414', '93']	['168', '87', '414']	0
['1255', '1463', '568', '14', '837', '402', '73']	['2594', '51', '5004', '54', '322']	0
['950', '549', '48', '46', '554', '126', '950', '139', '1788', '10', '227']	['800', '198', '554', '126', '503']	1
['2561', '2698', '227', '3674']	['2561', '450', '4', '868', '17', '227', '143']	0
['923', '24', '3256', '1316', '43']	['43', '923', '24', '3256', '1316']	1
['65', '1875', '397', '5', '2003']	['1875', '397', '5', '2003', '65']	1
['1580', '1644', '1699', '7458', '7459', '10', '491', '162']	['77', '26', '7', '1580', '1644', '1644', '50', '44']	0
['172', '7523', '329', '602', '565']	['172', '329', '602', '565', '5', '220']	0
['1048', '1027', '6', '23', '807', '168', '1027', '90']	['1027', '59', '90', '7321', '130', '1027', '90']	1
['317', '967', '61', '228', '185']	['267', '185', '246', '49', '109', '24']	0
['123', '3', '354', '16', '19', '39']	['3614', '2', '16', '107', '39']	0
['195', '977', '1148', '27', '361', '205', '1316']	['977', '1148', '195', '5297', '205', '975']	1
['98', '2426', '2474', '1', '47', '2038']	['47', '2426', '62', '98', '2038']	0
['6718', '3329', '10', '173']	['7337', '9048', '1137', '173', '1622']	0
['7121', '6317', '181', '114', '576', '1540', '3', '1065', '294']	['77', '869', '1540', '576', '308', '1540', '1065', '72', '52', '359']	0
['273', '562', '3', '343', '27', '32', '562', '38', '10', '182', '11']	['48', '562', '3', '27', '11', '562', '38', '182', '11']	1
['165', '412', '259', '484', '1979', '17', '229', '281']	['1061', '198', '2', '165', '412', '214', '26', '484', '38', '1979', '229', '281']	0
['511', '820', '1212', '4', '7137']	['511', '443', '1212', '314']	1
['20', '127', '42', '1787', '459', '20', '2224', '206', '638', '218']	['20', '127', '42', '1', '49', '459', '20', '2224', '206', '638', '218']	1
['57', '1039', '69', '500', '38']	['38', '634', '57', '288', '500']	1
['31', '235', '42', '4', '811', '4', '78', '196', '432']	['6', '596', '38', '1230', '835', '86', '77', '79']	0
['20', '183', '42', '1', '408', '459', '20', '1898', '1385', '638', '218']	['20', '183', '42', '459', '20', '1898', '1385', '638', '218', '10']	1
['129', '3577', '441', '1505', '639', '373', '374', '300', '336', '639', '22', '898', '199', '145', '3', '1', '210']	['129', '180', '7', '441', '1505', '639', '373', '374', '300', '336', '639', '45', '22', '898', '199', '145', '3', '1', '210']	1
['270', '2734', '2650', '58', '1916', '2487', '2165', '4056', '214', '13']	['1026', '2734', '2650', '58', '1916', '7042', '74', '6171', '13']	1
['1581', '754', '122']	['1581', '754', '122']	1
['98', '15', '47', '335']	['98', '15', '47', '107', '335', '39']	1
['121', '214', '349', '206', '178', '2900', '603', '367', '206', '17']	['121', '214', '349', '206', '178', '259', '11', '241']	0
['29', '190', '75', '290', '34', '163']	['100', '190', '75', '290', '34', '163']	1
['204', '142', '21', '377', '6', '2264', '90']	['204', '142', '377', '6', '645', '90']	1
['95', '195', '473', '1258']	['14', '33', '195', '69', '473', '1025', '1258']	0
['1480', '1336', '303', '976', '89', '289', '290', '22', '141', '45', '481', '132']	['303', '976', '89', '48', '290', '1480', '1336', '1', '132', '481', '45']	1
['115', '23', '105', '509', '5118', '3965', '1319']	['3149', '23', '27', '1185', '711', '349', '89']	0
['266', '5730', '185', '122']	['81', '878', '81', '610', '136']	0
['1001', '65', '72', '29', '35', '331', '17', '2854']	['27', '65', '1001', '37', '33', '5888', '2']	0
