0	['1585', '15', '55', '84', '71', '615', '250', '196', '166']	['615', '35', '55', '84', '71', '729', '488']
1	['81', '228', '2147', '55', '81', '41', '74', '193', '1306', '9']	['81', '228', '115', '1343', '527', '368', '16', '19', '241']
2	['205', '2540', '5804', '151', '13']	['205', '72', '29', '3495', '5804', '151']
3	['453', '8905', '592', '597', '69', '3', '32', '336', '278', '492', '597', '1', '577', '453', '2', '1000']	['453', '8905', '592', '597', '69', '3', '32', '336', '278', '492', '597', '1', '250', '453', '2', '78', '213']
4	['6083', '139', '154', '739', '607']	['139', '2551', '14', '33', '739', '607']
5	['407', '237', '235', '4', '23', '35', '35']	['237', '86', '235', '4', '23', '35', '35']
6	['14', '33', '121', '53', '161', '80']	['14', '33', '121', '69', '53', '161', '80']
7	['31', '2504', '369', '1075', '32', '318']	['75', '326', '31', '7', '32', '318']
8	['20', '219', '16', '2287', '20']	['2287', '20', '20', '219', '10', '79']
9	['57', '1039', '111', '57', '311', '177', '438', '125', '28']	['57', '1039', '111', '57', '311', '27', '177', '438', '125', '28']
10	['14', '33', '1480', '1336', '298', '80', '178', '21', '713', '80']	['14', '33', '1480', '1336', '69', '298', '80', '178', '21', '713', '80']
11	['273', '1441', '463', '1424', '449']	['1441', '463', '1424', '449']
12	['731', '180', '35', '8', '23', '128']	['904', '731', '4', '128', '339', '100', '35']
13	['933', '266', '332', '13']	['2107', '44', '332', '186', '142', '35']
14	['531', '79']	['1777', '6864', '531', '60']
15	['57', '1', '671', '180', '2047', '202']	['77', '57', '219', '199', '290', '8886', '211', '848']
16	['1114', '88', '126', '70', '117']	['1114', '88', '22', '126', '982', '69', '70', '117']
17	['1556', '3100', '1343', '5153']	['1556', '1121', '154']
18	['2415', '516', '82', '2509', '2415', '518', '2694', '175', '37']	['37', '175', '2415', '516', '82', '2509', '2415', '518', '82']
19	['105', '6087', '5487', '279', '8753', '48', '46', '2312', '162']	['416', '1399', '237', '48', '307', '139', '6087', '5487', '1', '5', '162']
20	['211', '160', '0', '0', '1579', '8906', '1087', '6309', '1458', '2919', '102']	['475', '413', '7415', '0', '1001', '1087', '728', '4', '8337', '568', '14', '13']
21	['21', '1194', '164', '1019', '164', '119', '939']	['77', '1194', '164', '1019', '56', '164', '113', '939']
22	['197', '1136', '35', '37', '57', '311', '8824', '100', '5', '190']	['197', '1136', '11', '35', '37', '14', '33', '100', '1', '17', '190', '57', '311', '290']
23	['552', '1857', '3', '119', '1230', '2439', '3', '55']	['552', '3', '105', '235', '301', '3', '8', '17', '623', '0', '2063']
24	['4239', '6213', '6859', '533', '500', '2502', '447']	['5885', '6213', '6859', '2502', '288']
25	['205', '97', '2412', '681', '67']	['10', '361', '205', '53', '97', '2412']
26	['625', '1688', '1785', '2996', '2']	['0', '149', '1171', '11609', '2882', '285', '2983', '2996', '2', '13']
27	['552', '1857', '4220', '1874', '5', '9']	['1230', '2439', '3', '105', '235', '5', '9']
28	['50', '1167', '302', '141', '12']	['798', '1167', '4296', '15', '12']
29	['8754', '7164', '7165', '358', '6204', '117', '903']	['0', '1166', '0', '8', '7164', '7165', '130', '117']
30	['57', '171', '15', '424', '603', '20', '2687', '637']	['57', '15', '424', '135', '20', '2687', '637']
31	['2204', '303', '80', '1', '350', '298', '303', '3', '255']	['298', '303', '27', '53', '80', '17', '350', '303', '3', '255']
32	['3443', '97', '10']	['3443', '153', '97']
33	['5', '753', '34', '3108', '109']	['12', '34', '182', '1196', '3497', '3108', '28', '109']
34	['2012', '359', '165', '75', '326', '38', '75', '524', '16', '13', '359']	['75', '524', '13', '165', '75', '326', '38', '359']
35	['1757', '262', '359', '2756', '4', '1091']	['1757', '359', '262', '2756', '1971', '4', '1091', '13']
36	['1998', '529', '184']	['1998', '529', '184', '529', '184', '2301']
37	['279', '48', '46', '8', '817', '8755', '8756', '247', '4059', '247', '111', '359']	['237', '549', '616', '746', '8', '549', '2465', '2', '2309', '2309', '1530', '359']
38	['14', '69', '70', '727', '1001', '430']	['9241', '360', '2606', '111', '34', '430']
39	['14', '33', '219', '829', '342', '634']	['17', '219', '829', '14', '273']
40	['115', '1933', '1762', '44']	['115', '3989', '9004', '1762', '140']
41	['3896', '2271']	['91', '11', '3896', '4277']
42	['1616', '64', '50', '4', '167', '2496', '728', '2496', '17', '140']	['2053', '445', '3965', '50', '4', '167', '160', '2496']
43	['48', '180', '14', '33', '21', '202']	['21', '202', '180', '40']
44	['287', '156', '67', '11']	['287', '156', '11']
45	['4', '1954', '47', '400', '2051']	['4', '1954', '47', '1', '400', '2051']
46	['12', '893', '153']	['153', '12', '893', '5', '79']
47	['30', '50', '2144', '174', '6828', '111', '70', '30', '152', '62']	['30', '50', '3287', '2', '66', '62', '358', '30', '152', '62']
48	['95', '195', '159', '1317', '1316']	['923', '1', '159', '1317', '1316']
49	['479', '5349', '460', '88']	['79', '2357', '479', '460', '88']
50	['1194', '164', '1019', '164', '119', '143']	['676', '21', '1194', '164', '1019', '164', '1019', '164', '119', '557']
51	['103', '204', '142', '55', '31', '5', '345', '557', '316', '92']	['204', '55', '31', '345', '680']
52	['106', '613', '59', '30', '134', '7', '608', '909', '391']	['3', '41', '56', '59', '30', '134', '7', '608', '909', '391']
53	['16', '1135', '89', '226', '157', '60', '157', '103', '233', '31', '1044']	['226', '157', '60', '157', '103', '233', '31', '89', '16', '1135']
54	['349', '3', '946', '846', '2681', '32', '3583', '78', '3583', '1715', '93']	['431', '2681', '93', '431', '2681', '78', '110']
55	['20', '6584', '1755']	['563', '20', '1', '6584', '1755']
56	['695', '12', '2485', '149', '712']	['1973', '1358', '12', '625', '712']
57	['300', '16', '526', '890', '3893', '92', '103', '1156', '403', '87', '49', '491', '162']	['544', '59', '3384', '1768', '1128', '728', '60', '16', '19', '18']
58	['13', '7489', '3431', '14']	['2346', '2525', '5646', '693']
59	['3', '116', '1578']	['3', '64', '116', '26', '1578']
60	['4116', '6524', '126', '76', '19', '380']	['2', '1476', '6524', '577', '76', '380']
61	['643', '514', '2758', '347', '177', '930', '347', '150']	['643', '3347', '781', '126', '347', '714', '389', '6553', '18']
62	['4239', '6213', '6859', '533', '500', '2502', '447']	['140', '2502', '0', '533', '24', '447']
63	['116', '40', '640', '149', '5262', '5266', '434']	['30', '12', '116', '40', '640', '149', '149']
64	['569', '341', '263', '4242', '1', '16', '24', '1677']	['569', '341', '263', '4242', '49', '24', '1677']
65	['92', '4', '319', '304', '52', '262']	['92', '4', '319', '2235', '52', '262']
66	['906', '20', '804', '500', '20', '2287', '230', '5656', '10', '197', '118', '258', '11']	['20', '127', '183', '60', '133', '3974', '629', '3296']
67	['1181', '1547', '1963', '1011', '11']	['1181', '1914', '6', '1963', '429', '1011', '11']
68	['106', '2091', '419']	['448', '106', '83', '284', '358', '419']
69	['26', '7', '46', '70', '67']	['70', '46', '67']
70	['789', '240', '133', '32', '464']	['789', '1083', '3', '1', '464', '32']
71	['344', '371', '218', '63']	['61', '344', '371', '218']
72	['42', '94', '1363', '7166', '111', '42', '4376', '3005', '1086']	['77', '91', '42', '0', '6796', '0', '11']
73	['88', '60', '6001', '565', '1', '60', '3415']	['6', '27', '36', '319', '565', '36', '15', '6', '3415', '565']
74	['0', '24', '516', '633', '82']	['2495', '1762', '155', '285', '2211', '82']
75	['57', '155', '883', '20']	['3194', '155', '883', '20', '1568']
76	['5445', '4976', '1228', '2940', '40', '37', '187']	['2532', '243', '405', '6218', '84', '2044', '605', '517', '37', '187']
77	['947', '3931', '3123', '793', '2043', '716']	['3452', '3556', '793', '947', '3931', '3123', '69', '2043', '716']
78	['1824', '3', '148', '2775']	['1245', '1146', '5', '173']
79	['127', '183', '2655', '20', '1', '16', '3633']	['112', '16', '3633', '127', '183', '2655', '20']
80	['14', '33', '683', '1382', '1143']	['124', '14', '33', '1382', '3597']
81	['1079', '676', '512', '9']	['590', '9', '67']
82	['120', '596', '99', '111', '176', '561', '2253']	['120', '596', '99', '111', '176', '561', '7960']
83	['20', '127', '183', '27', '960', '4619']	['27', '960', '20', '127', '183', '68']
84	['243', '405', '6218', '84', '2044', '37', '187']	['1772', '6218', '27', '154', '108', '84', '1772', '2940', '15']
85	['27', '5039', '793', '1611', '23', '1955', '2703']	['27', '5039', '793', '14', '33', '1611', '23', '1955', '2703']
86	['55', '84', '71', '93', '196', '432']	['55', '75', '71', '93', '196', '432']
87	['6', '297', '2329', '59', '2103', '694', '139', '32', '3', '6860', '36']	['2329', '59', '2103', '694', '139', '32', '3', '6860', '36', '6', '297']
88	['338', '24', '317']	['338', '95', '317', '119', '143']
89	['135', '6861', '244', '408', '329', '3358', '5269', '5900']	['570', '2318', '1863', '3358', '5269', '5900']
90	['341', '1890', '3636', '59', '21', '602']	['5452', '0', '529', '8', '21', '1622', '4255']
91	['1959', '798', '676', '512', '9']	['1866', '1959', '590', '653', '512', '258', '9']
92	['639', '38', '940']	['639', '38', '191']
93	['6', '1650', '292', '159', '378', '3', '8733', '2718', '31', '1183', '241', '693']	['6', '672', '36', '104', '159', '378', '3', '1230', '292', '31', '13']
94	['204', '1534', '4', '90', '75', '202']	['92', '204', '4', '807', '69', '21', '202']
95	['6', '1077', '699', '236', '15', '292', '31', '112', '7834']	['6', '1077', '699', '6', '15', '292', '31', '4', '0', '140']
96	['92', '459', '388', '6585']	['743', '396', '11', '1', '5', '36', '24', '75', '769']
97	['104', '1718', '3', '8', '596', '13']	['104', '489', '3', '8', '3814', '1566', '4', '0', '13']
98	['2767', '8907', '363', '307', '1752', '1', '18']	['2767', '8907', '363', '307', '1752', '1', '3699']
99	['989', '419', '34', '7', '29', '2342', '923', '856']	['923', '419', '989', '29', '2342', '856']
100	['816', '249', '7', '517', '11']	['77', '24', '816', '109', '40']
101	['2122', '128', '271', '19']	['2122', '7262', '19']
102	['1471', '70']	['1471', '5899', '563']
103	['159', '1406', '3', '2258', '1406', '1068', '191', '39']	['159', '1406', '3', '7', '276', '191', '39']
104	['2361', '1417', '7167', '7168', '5719', '416', '147', '9']	['416', '2361', '7167', '7168', '5719', '147', '9']
105	['81', '228', '2147', '55', '81', '41', '74', '193', '1306', '9']	['81', '228', '55', '11582', '81', '41', '74', '193', '3264', '9']
106	['300', '16', '282', '853', '282', '22', '16', '327', '850']	['300', '16', '282', '853', '282', '22', '16', '72', '52', '53']
107	['950', '2758', '1326', '72', '147', '8757', '682', '1128', '817']	['46', '198', '2', '2758', '1326', '9103', '3381', '1', '130', '817']
